custcode,Mar,Apr,May,firstAccum,firstTrend,SecondTrend,AvgFirstTrend,Jun,Jul,Aug,SecondAccum,ThirdTrend,FourthTrend,SecondAvgTrend,AccumTrend
6806044AY,,,,0,0,0,0,"2,068",,,"2,068",0,0,0,0
6806045AY,,,,0,0,0,0,329,,,329,0,0,0,0
6806046AY,,,,0,0,0,0,"7,862",,,"7,862",0,0,0,0
6806047AY,,,,0,0,0,0,"4,022","2,284","5,029","11,336",0.57,2.2,1.385,0
6806048AY,,,,0,0,0,0,"3,505","2,336",,"5,841",0.67,0,0.335,0
6806049AY,,,,0,0,0,0,"4,907",,,"4,907",0,0,0,0
6806050AY,,,,0,0,0,0,"26,655","19,012",,"45,666",0.71,0,0.355,0
6806051AY,,,,0,0,0,0,222,,,222,0,0,0,0
6806052AY,,,,0,0,0,0,"7,963",,,"7,963",0,0,0,0
6806053AY,,,,0,0,0,0,"4,673",,,"4,673",0,0,0,0
6806054AY,,,,0,0,0,0,"4,370","7,804",429,"12,603",1.79,0.06,0.925,0
6806055AY,,,,0,0,0,0,"1,543",,"26,408","27,951",0,0,0,0
6806056AY,,,,0,0,0,0,"1,013",,,"1,013",0,0,0,0
6806057AY,,,,0,0,0,0,,,"8,113","8,113",0,0,0,0
6806058AY,,,,0,0,0,0,163,,,163,0,0,0,0
6806059AY,,,,0,0,0,0,629,,,629,0,0,0,0
6806060AY,,,,0,0,0,0,"18,594",,,"18,594",0,0,0,0
6806061AY,,,,0,0,0,0,"2,515",584,,"3,099",0.23,0,0.115,0
6806062AY,,,,0,0,0,0,"3,393",,449,"3,841",0,0,0,0
6806063AY,,,,0,0,0,0,103,,,103,0,0,0,0
6806064AY,,,,0,0,0,0,"2,378",,,"2,378",0,0,0,0
6806065AY,,,,0,0,0,0,"1,014",,,"1,014",0,0,0,0
6806066AY,,,,0,0,0,0,126,,,126,0,0,0,0
6806069AY,,,,0,0,0,0,79,"3,944",,"4,024",49.65,0,24.825,0
6806070AY,,,,0,0,0,0,,"2,089",,"2,089",0,0,0,0
6806071AY,,,,0,0,0,0,"1,818",,,"1,818",0,0,0,0
6806072AY,,,,0,0,0,0,"3,093","2,193","1,607","6,894",0.71,0.73,0.72,0
6806073AY,,,,0,0,0,0,641,939,,"1,579",1.46,0,0.73,0
6806074AY,,,,0,0,0,0,"12,696",,,"12,696",0,0,0,0
6806075AY,,,,0,0,0,0,688,,,688,0,0,0,0
6806076AY,,,,0,0,0,0,"2,565",,,"2,565",0,0,0,0
6806077AY,,,,0,0,0,0,439,,,439,0,0,0,0
6806078AY,,,,0,0,0,0,"2,123",,,"2,123",0,0,0,0
6806079AY,,,,0,0,0,0,,,210,210,0,0,0,0
6807001AY,,,,0,0,0,0,,"20,496",,"20,496",0,0,0,0
6807002AY,,,,0,0,0,0,,"2,410",,"2,410",0,0,0,0
6807004AY,,,,0,0,0,0,,475,,475,0,0,0,0
6807005AY,,,,0,0,0,0,,74,,74,0,0,0,0
6807006AY,,,,0,0,0,0,,"11,836",,"11,836",0,0,0,0
6807007AY,,,,0,0,0,0,,"17,271",,"17,271",0,0,0,0
6807008AY,,,,0,0,0,0,,"2,421",,"2,421",0,0,0,0
6807009AY,,,,0,0,0,0,,"1,202",,"1,202",0,0,0,0
6807010AY,,,,0,0,0,0,,725,,725,0,0,0,0
6807011AY,,,,0,0,0,0,,934,,934,0,0,0,0
6807012AY,,,,0,0,0,0,,"1,390",,"1,390",0,0,0,0
6807013AY,,,,0,0,0,0,,"1,667",,"1,667",0,0,0,0
6807014AY,,,,0,0,0,0,,"3,697",,"3,697",0,0,0,0
6807015AY,,,,0,0,0,0,,953,,953,0,0,0,0
6807016AY,,,,0,0,0,0,,44,,44,0,0,0,0
6807017AY,,,,0,0,0,0,,"1,416",,"1,416",0,0,0,0
6807017TR,,,,0,0,0,0,,"1,668",,"1,668",0,0,0,0
6807018AY,,,,0,0,0,0,,127,,127,0,0,0,0
6807019AY,,,,0,0,0,0,,"3,196",,"3,196",0,0,0,0
6807020AY,,,,0,0,0,0,,"5,567","2,038","7,605",0,0.37,0.185,0
6807021AY,,,,0,0,0,0,,194,,194,0,0,0,0
6807022AY,,,,0,0,0,0,,"4,251",,"4,251",0,0,0,0
6807023AY,,,,0,0,0,0,,721,,721,0,0,0,0
6807024AY,,,,0,0,0,0,,"6,921",,"6,921",0,0,0,0
6807025AY,,,,0,0,0,0,,93,,93,0,0,0,0
6807027AY,,,,0,0,0,0,,"2,248",,"2,248",0,0,0,0
6807028AY,,,,0,0,0,0,,407,,407,0,0,0,0
6807030AY,,,,0,0,0,0,,288,,288,0,0,0,0
6807032AY,,,,0,0,0,0,,"6,308","2,587","8,895",0,0.41,0.205,0
6807033AY,,,,0,0,0,0,,247,243,490,0,0.98,0.49,0
6807034AY,,,,0,0,0,0,,"1,356",,"1,356",0,0,0,0
6807035AY,,,,0,0,0,0,,533,,533,0,0,0,0
6807036AY,,,,0,0,0,0,,"7,127",,"7,127",0,0,0,0
6807037AY,,,,0,0,0,0,,204,,204,0,0,0,0
6807038AY,,,,0,0,0,0,,106,,106,0,0,0,0
6807039AY,,,,0,0,0,0,,"2,543",,"2,543",0,0,0,0
6807040AY,,,,0,0,0,0,,902,,902,0,0,0,0
6807041AY,,,,0,0,0,0,,940,,940,0,0,0,0
6807042AY,,,,0,0,0,0,,"5,652",,"5,652",0,0,0,0
6807043AY,,,,0,0,0,0,,134,,134,0,0,0,0
6807044AY,,,,0,0,0,0,,220,,220,0,0,0,0
6807045AY,,,,0,0,0,0,,"2,131",,"2,131",0,0,0,0
6807046AY,,,,0,0,0,0,,62,,62,0,0,0,0
6807048AY,,,,0,0,0,0,,145,,145,0,0,0,0
6807050AY,,,,0,0,0,0,,"2,897",,"2,897",0,0,0,0
6807051AY,,,,0,0,0,0,,393,,393,0,0,0,0
6807052AY,,,,0,0,0,0,,"3,103",,"3,103",0,0,0,0
6807053AY,,,,0,0,0,0,,,443,443,0,0,0,0
6807054AY,,,,0,0,0,0,,"6,822",,"6,822",0,0,0,0
6807055AY,,,,0,0,0,0,,916,,916,0,0,0,0
6807056AY,,,,0,0,0,0,,,"6,196","6,196",0,0,0,0
6807057AY,,,,0,0,0,0,,"2,927",,"2,927",0,0,0,0
6807058AY,,,,0,0,0,0,,224,,224,0,0,0,0
6807059AY,,,,0,0,0,0,,"13,897","13,780","27,677",0,0.99,0.495,0
6807060AY,,,,0,0,0,0,,121,,121,0,0,0,0
6807061AY,,,,0,0,0,0,,,280,280,0,0,0,0
6807063AY,,,,0,0,0,0,,836,,836,0,0,0,0
6807064AY,,,,0,0,0,0,,"4,149",789,"4,938",0,0.19,0.095,0
6807065AY,,,,0,0,0,0,,146,,146,0,0,0,0
6807066AY,,,,0,0,0,0,,"6,485",,"6,485",0,0,0,0
6807067AY,,,,0,0,0,0,,"6,869",751,"7,620",0,0.11,0.055,0
6807068AY,,,,0,0,0,0,,"7,906",,"7,906",0,0,0,0
6807070AY,,,,0,0,0,0,,"3,463",,"3,463",0,0,0,0
6807071AY,,,,0,0,0,0,,"4,579",,"4,579",0,0,0,0
6807072AY,,,,0,0,0,0,,944,,944,0,0,0,0
6807073AY,,,,0,0,0,0,,554,"4,764","5,318",0,8.6,4.3,0
6808001AY,,,,0,0,0,0,,,"22,303","22,303",0,0,0,0
6808002AY,,,,0,0,0,0,,,97,97,0,0,0,0
6808003AY,,,,0,0,0,0,,,85,85,0,0,0,0
6808004AY,,,,0,0,0,0,,,"1,774","1,774",0,0,0,0
6808006AY,,,,0,0,0,0,,,154,154,0,0,0,0
6808007AY,,,,0,0,0,0,,,"1,963","1,963",0,0,0,0
6808008AY,,,,0,0,0,0,,,"1,913","1,913",0,0,0,0
6808009AY,,,,0,0,0,0,,,"48,056","48,056",0,0,0,0
6808010AY,,,,0,0,0,0,,,"64,831","64,831",0,0,0,0
6808011AY,,,,0,0,0,0,,,"4,416","4,416",0,0,0,0
6808012AY,,,,0,0,0,0,,,"31,402","31,402",0,0,0,0
6808013AY,,,,0,0,0,0,,,"2,604","2,604",0,0,0,0
6808014AY,,,,0,0,0,0,,,"4,794","4,794",0,0,0,0
6808015AY,,,,0,0,0,0,,,"18,487","18,487",0,0,0,0
6808016AY,,,,0,0,0,0,,,308,308,0,0,0,0
6808017AY,,,,0,0,0,0,,,916,916,0,0,0,0
6808018AY,,,,0,0,0,0,,,"1,430","1,430",0,0,0,0
6808019AY,,,,0,0,0,0,,,"6,516","6,516",0,0,0,0
6808020AY,,,,0,0,0,0,,,"1,357","1,357",0,0,0,0
6808021AY,,,,0,0,0,0,,,"13,741","13,741",0,0,0,0
6808022AY,,,,0,0,0,0,,,"9,536","9,536",0,0,0,0
6808023AY,,,,0,0,0,0,,,"6,464","6,464",0,0,0,0
6808024AY,,,,0,0,0,0,,,"5,692","5,692",0,0,0,0
6808025AY,,,,0,0,0,0,,,"4,045","4,045",0,0,0,0
6808026AY,,,,0,0,0,0,,,"6,568","6,568",0,0,0,0
6808027AY,,,,0,0,0,0,,,"5,076","5,076",0,0,0,0
6808028AY,,,,0,0,0,0,,,82,82,0,0,0,0
6808029AY,,,,0,0,0,0,,,"8,887","8,887",0,0,0,0
6808030AY,,,,0,0,0,0,,,506,506,0,0,0,0
6808031AY,,,,0,0,0,0,,,"11,047","11,047",0,0,0,0
6808032AY,,,,0,0,0,0,,,"6,675","6,675",0,0,0,0
