custcode,Mar,Apr,May,firstAccum,firstTrend,SecondTrend,AvgFirstTrend,Jun,Jul,Aug,SecondAccum,ThirdTrend,FourthTrend,SecondAvgTrend,AccumTrend
11001AY,"1,034,291","614,724","587,192","2,236,207",1.68,1.05,1.365,"826,264","568,289","192,879","1,587,433",0.69,0.34,0.515,0.71
11006BS,,,,0,0,0,0,220,,,220,0,0,0,0
11007AY,,,,0,0,0,0,,,,0,0,0,0,0
11008AY,,,,0,0,0,0,,,"3,603","3,603",0,0,0,0
11009AY,,,"12,111","12,111",0,0,0,"18,867",606,,"19,473",0.03,0,0.015,1.61
19001AY,,,,0,0,0,0,,,,0,0,0,0,0
19002AY,,"10,173","81,105","91,278",0,0.13,0.065,"98,912",,"20,259","119,170",0,0,0,1.31
19006AY,,,,0,0,0,0,,,925,925,0,0,0,0
20002RB,,408,,408,0,0,0,,,,0,0,0,0,0
20004AY,"193,550","148,590","453,394","795,534",1.3,0.33,0.815,"183,718","56,362","8,409","248,489",0.31,0.15,0.23,0.31
20005BS,,"5,415",,"5,415",0,0,0,"7,330",269,,"7,599",0.04,0,0.02,1.4
20006AY,89,,"2,102","2,191",0,0,0,832,,,832,0,0,0,0.38
20008AY,,179,,179,0,0,0,,,39,39,0,0,0,0.22
20010AY,"1,383",,841,"2,224",0,0,0,,,,0,0,0,0,0
20014AY,445,814,,"1,259",0.55,0,0.275,,980,,980,0,0,0,0.78
21004AY,232,220,"9,338","9,790",1.05,0.02,0.535,,,"4,220","4,220",0,0,0,0.43
22001AY,"2,895",952,"2,628","6,475",3.04,0.36,1.7,427,301,,728,0.7,0,0.35,0.11
23015AY,"45,019","65,290","90,393","200,702",0.69,0.72,0.705,"57,752","167,324","32,833","257,909",2.9,0.2,1.55,1.29
23015NR,"4,222",,,"4,222",0,0,0,286,,,286,0,0,0,0.07
23016AY,"30,503","62,721","43,890","137,114",0.49,1.43,0.96,"34,678","58,295","23,034","116,008",1.68,0.4,1.04,0.85
23016NR,,,,0,0,0,0,,,,0,0,0,0,0
23019AY,"232,775","462,485","228,442","923,702",0.5,2.02,1.26,"465,509","302,796","317,966","1,086,271",0.65,1.05,0.85,1.18
23020AY,,,708,708,0,0,0,,,,0,0,0,0,0
23021AY,"1,290",,,"1,290",0,0,0,,,,0,0,0,0,0
23029AY,"21,130",,687,"21,817",0,0,0,111,713,"1,847","2,671",6.41,2.59,4.5,0.12
23031AY,"414,533","130,250","29,009","573,792",3.18,4.49,3.835,"11,971","7,736","116,988","136,695",0.65,15.12,7.885,0.24
23033AY,"161,255","80,032","75,089","316,376",2.01,1.07,1.54,"102,327","190,517","88,320","381,164",1.86,0.46,1.16,1.2
23035AY,,,,0,0,0,0,,"1,189","1,314","2,503",0,1.11,0.555,0
23037AY,,,,0,0,0,0,,"39,250",,"39,250",0,0,0,0
23038AY,"9,533","4,766","4,766","19,065",2,1,1.5,"13,850","6,206","23,925","43,981",0.45,3.86,2.155,2.31
23125TP,,,,0,0,0,0,,247,,247,0,0,0,0
24003AY,,,"5,427","5,427",0,0,0,,,,0,0,0,0,0
24005AY,,,,0,0,0,0,,123,,123,0,0,0,0
24008AY,"5,125","2,845","1,537","9,507",1.8,1.85,1.825,,,,0,0,0,0,0
24010AY,,,,0,0,0,0,,,"12,646","12,646",0,0,0,0
24011AY,"24,184","18,884","25,008","68,076",1.28,0.76,1.02,"1,047","1,921","47,306","50,274",1.83,24.63,13.23,0.74
24013AY,"2,266",,,"2,266",0,0,0,,,,0,0,0,0,0
24015AY,,,,0,0,0,0,,,247,247,0,0,0,0
24020AY,"49,581","31,947","83,658","165,186",1.55,0.38,0.965,"141,692","148,955","126,698","417,345",1.05,0.85,0.95,2.53
25004AY,"2,474","36,643","51,357","90,474",0.07,0.71,0.39,"3,549","1,254",290,"5,093",0.35,0.23,0.29,0.06
25005AY,,,,0,0,0,0,,,,0,0,0,0,0
25006AY,,,,0,0,0,0,,"14,165",,"14,165",0,0,0,0
25007AY,"27,619",,,"27,619",0,0,0,,,,0,0,0,0,0
25009AY,,488,,488,0,0,0,,,,0,0,0,0,0
25014AY,"15,505","37,691","58,011","111,207",0.41,0.65,0.53,"9,343",537,,"9,881",0.06,0,0.03,0.09
25016AY,,"5,833",,"5,833",0,0,0,"5,557","2,267",950,"8,774",0.41,0.42,0.415,1.5
25017NS,,,,0,0,0,0,,,,0,0,0,0,0
25019AY,,,,0,0,0,0,,,,0,0,0,0,0
26001BS,520,,,520,0,0,0,,,,0,0,0,0,0
26002BS,,,,0,0,0,0,,,290,290,0,0,0,0
26005AY,"6,920","4,719","15,736","27,375",1.47,0.3,0.885,"19,845",664,"4,045","24,554",0.03,6.1,3.065,0.9
26008AY,,,,0,0,0,0,"3,419",,,"3,419",0,0,0,0
26008CM,,,,0,0,0,0,,,"9,692","9,692",0,0,0,0
26009AY,,,,0,0,0,0,,,,0,0,0,0,0
26015AY,,,,0,0,0,0,,50,,50,0,0,0,0
26018AY,"15,492","33,879","80,148","129,519",0.46,0.42,0.44,"28,076","22,264","8,741","59,081",0.79,0.39,0.59,0.46
26097TS,,,84,84,0,0,0,,,,0,0,0,0,0
27003AY,"136,595","44,977","99,774","281,346",3.04,0.45,1.745,"63,794","100,220","80,177","244,191",1.57,0.8,1.185,0.87
27005AY,"297,723","207,828","192,378","697,929",1.43,1.08,1.255,"134,388","248,904","149,969","533,261",1.85,0.6,1.225,0.76
27007AY,"5,519",260,"22,996","28,775",21.23,0.01,10.62,"11,854","2,021","3,768","17,643",0.17,1.86,1.015,0.61
27009AY,,,,0,0,0,0,"3,000",,,"3,000",0,0,0,0
27010AY,"83,521","30,580","13,418","127,519",2.73,2.28,2.505,"9,515","9,574","77,929","97,018",1.01,8.14,4.575,0.76
27011AY,,,,0,0,0,0,,,"2,086","2,086",0,0,0,0
27012RY,"12,804","26,943","46,276","86,023",0.48,0.58,0.53,,,,0,0,0,0,0
27014AY,,,,0,0,0,0,,,,0,0,0,0,0
27017AY,,,,0,0,0,0,299,,,299,0,0,0,0
27077TS,,,,0,0,0,0,"10,858",,,"10,858",0,0,0,0
27114TL,"10,638",,,"10,638",0,0,0,"4,294",,,"4,294",0,0,0,0.4
30006TN,,,204,204,0,0,0,329,,,329,0,0,0,1.61
30007AY,"26,816","9,678","28,788","65,282",2.77,0.34,1.555,"41,906",824,"38,413","81,143",0.02,46.6,23.31,1.24
30009AY,,,"10,721","10,721",0,0,0,,"3,776",,"3,776",0,0,0,0.35
30010AY,237,,,237,0,0,0,"66,276","1,785","1,302","69,363",0.03,0.73,0.38,292.67
30011AY,107,415,330,852,0.26,1.26,0.76,,564,107,671,0,0.19,0.095,0.79
30011HY,,,,0,0,0,0,,,,0,0,0,0,0
30013AY,,,,0,0,0,0,,,,0,0,0,0,0
30018CB,688,894,,"1,582",0.77,0,0.385,,,,0,0,0,0,0
30022AY,"5,513","13,542","87,405","106,460",0.41,0.15,0.28,"18,100","28,053","11,688","57,841",1.55,0.42,0.985,0.54
30023AY,,,,0,0,0,0,,,407,407,0,0,0,0
30024AY,,,,0,0,0,0,,"2,325",,"2,325",0,0,0,0
30036AY,,,458,458,0,0,0,,"1,262",533,"1,795",0,0.42,0.21,3.92
32001BS,,882,"1,981","2,863",0,0.45,0.225,"3,193","1,869","3,272","8,334",0.59,1.75,1.17,2.91
32002AY,"38,439","17,969","16,029","72,437",2.14,1.12,1.63,"45,894","15,797","10,411","72,102",0.34,0.66,0.5,1
32002BS,,,,0,0,0,0,525,"6,904",,"7,429",13.15,0,6.575,0
32003AY,"53,174","82,185","58,625","193,984",0.65,1.4,1.025,"114,335","8,033","161,896","284,264",0.07,20.15,10.11,1.47
32004RY,,,,0,0,0,0,,,,0,0,0,0,0
32005AY,,,,0,0,0,0,,"1,069",,"1,069",0,0,0,0
33002AY,"30,555",,,"30,555",0,0,0,,,,0,0,0,0,0
33015RB,,,,0,0,0,0,,"31,002",,"31,002",0,0,0,0
34001BS,,,,0,0,0,0,"2,061","1,432",576,"4,069",0.69,0.4,0.545,0
34003AY,,,,0,0,0,0,,841,,841,0,0,0,0
34004AY,,,"10,861","10,861",0,0,0,,"2,678",,"2,678",0,0,0,0.25
35004NR,,,,0,0,0,0,,"1,846",,"1,846",0,0,0,0
35006NR,,,,0,0,0,0,"4,454",,"12,924","17,378",0,0,0,0
35007AY,,,,0,0,0,0,,,,0,0,0,0,0
35011AY,"4,638","12,240","16,354","33,232",0.38,0.75,0.565,,,,0,0,0,0,0
35015AY,"42,958","5,759","15,347","64,064",7.46,0.38,3.92,"41,942","21,702","15,861","79,504",0.52,0.73,0.625,1.24
36003AY,,,"3,043","3,043",0,0,0,222,,,222,0,0,0,0.07
36005AY,,"18,344","131,011","149,355",0,0.14,0.07,"16,249","41,280","1,859,884","1,917,413",2.54,45.06,23.8,12.84
36006NR,,,,0,0,0,0,,"27,994","15,652","43,646",0,0.56,0.28,0
37008AY,"11,829","3,563",,"15,392",3.32,0,1.66,543,"1,559","1,391","3,493",2.87,0.89,1.88,0.23
37010BS,,,,0,0,0,0,,"3,599",,"3,599",0,0,0,0
37012AY,,,"10,129","10,129",0,0,0,,741,"5,671","6,412",0,7.66,3.83,0.63
37013AY,"31,176","26,399","37,164","94,739",1.18,0.71,0.945,"24,719","7,149",970,"32,839",0.29,0.14,0.215,0.35
37014NS,140,,,140,0,0,0,841,,,841,0,0,0,6.01
37023AY,"66,799","48,881","34,518","150,198",1.37,1.42,1.395,"46,645","41,866","60,692","149,203",0.9,1.45,1.175,0.99
38001PC,,721,,721,0,0,0,,,,0,0,0,0,0
38002AY,"437,296","175,249","381,734","994,279",2.5,0.46,1.48,"9,068","41,215","74,953","125,236",4.55,1.82,3.185,0.13
38002BS,,,,0,0,0,0,,,,0,0,0,0,0
38004BS,,,,0,0,0,0,,"3,363",,"3,363",0,0,0,0
38006AY,"93,271","64,621","52,236","210,128",1.44,1.24,1.34,"57,205","66,047","61,738","184,990",1.15,0.93,1.04,0.88
38008AY,"6,123","8,264",,"14,387",0.74,0,0.37,"24,897","11,776",,"36,673",0.47,0,0.235,2.55
38013AY,"61,092","48,632","18,000","127,724",1.26,2.7,1.98,"34,204","22,061","30,929","87,193",0.64,1.4,1.02,0.68
40002SB,,"5,873","6,645","12,518",0,0.88,0.44,,,,0,0,0,0,0
40005AY,"3,756","17,285",994,"22,035",0.22,17.39,8.805,"2,793",481,"2,809","6,083",0.17,5.84,3.005,0.28
40009BS,,,,0,0,0,0,260,,,260,0,0,0,0
40011AY,"33,923",,,"33,923",0,0,0,"46,611","22,656","35,106","104,373",0.49,1.55,1.02,3.08
40025AY,"228,582","38,968","135,817","403,367",5.87,0.29,3.08,"182,802","224,606","308,765","716,174",1.23,1.37,1.3,1.78
40026AY,"72,303","41,350","88,446","202,099",1.75,0.47,1.11,"71,350","100,632","90,817","262,799",1.41,0.9,1.155,1.3
40029AY,"123,104","55,667","78,904","257,675",2.21,0.71,1.46,"55,150","131,099","154,349","340,598",2.38,1.18,1.78,1.32
40030AY,,,,0,0,0,0,,,,0,0,0,0,0
40031BS,,,,0,0,0,0,,"1,503",144,"1,647",0,0.1,0.05,0
40032AY,"7,635","27,191","15,138","49,964",0.28,1.8,1.04,"18,979","3,269","7,707","29,955",0.17,2.36,1.265,0.6
40035AY,"33,461",765,"1,682","35,908",43.74,0.45,22.095,"19,153",,"5,629","24,782",0,0,0,0.69
40037BS,,373,,373,0,0,0,164,,,164,0,0,0,0.44
40039AY,"184,385","42,876","92,013","319,274",4.3,0.47,2.385,"260,810","145,007","180,261","586,079",0.56,1.24,0.9,1.84
40040AY,,,"10,066","10,066",0,0,0,"2,871","5,370","3,976","12,216",1.87,0.74,1.305,1.21
40043AY,,,,0,0,0,0,,,,0,0,0,0,0
40044AY,,,,0,0,0,0,,680,,680,0,0,0,0
40053AY,"25,099","20,794","7,075","52,968",1.21,2.94,2.075,"18,654","15,738","14,398","48,791",0.84,0.91,0.875,0.92
40058AY,"2,724",,"4,507","7,231",0,0,0,,,,0,0,0,0,0
40060AY,,,,0,0,0,0,,327,162,489,0,0.49,0.245,0
40068AY,"23,126","83,855","104,895","211,876",0.28,0.8,0.54,"118,230",,,"118,230",0,0,0,0.56
40073AY,,,342,342,0,0,0,886,0,443,"1,329",0,0,0,3.89
40077AY,"18,545",130,,"18,675",142.65,0,71.325,"25,302","2,761",392,"28,455",0.11,0.14,0.125,1.52
40080AY,"3,463",155,,"3,618",22.34,0,11.17,220,,205,424,0,0,0,0.12
40083AY,"1,185",,"2,468","3,653",0,0,0,,"5,043","1,420","6,463",0,0.28,0.14,1.77
40088AY,,,204,204,0,0,0,,,"1,361","1,361",0,0,0,6.67
40091AY,"5,304","4,257","1,253","10,814",1.25,3.4,2.325,,,"6,231","6,231",0,0,0,0.58
40093AY,"14,523","47,977","7,275","69,775",0.3,6.59,3.445,"8,051","3,044",,"11,096",0.38,0,0.19,0.16
40095AY,"7,097",,,"7,097",0,0,0,321,,,321,0,0,0,0.05
40097AY,"2,804","8,821","3,424","15,049",0.32,2.58,1.45,"8,388",,,"8,388",0,0,0,0.56
40312TP,"6,912","7,187","4,757","18,856",0.96,1.51,1.235,284,"6,791","6,067","13,142",23.94,0.89,12.415,0.7
40315TS,"21,679","18,470","38,225","78,374",1.17,0.48,0.825,"1,068","2,280",,"3,348",2.14,0,1.07,0.04
40367TP,,,"1,972","1,972",0,0,0,,,,0,0,0,0,0
43003AY,"69,130","141,352","119,890","330,372",0.49,1.18,0.835,"97,761","61,051","123,357","282,170",0.62,2.02,1.32,0.85
43006AY,"14,795","7,924","7,442","30,161",1.87,1.06,1.465,"1,946","4,968","3,727","10,641",2.55,0.75,1.65,0.35
43018RY,"24,430","27,807",,"52,237",0.88,0,0.44,,,"3,704","3,704",0,0,0,0.07
43019AY,"318,186","170,402","213,226","701,814",1.87,0.8,1.335,"196,881","191,369","135,676","523,926",0.97,0.71,0.84,0.75
43020AY,"62,879","10,569","188,183","261,631",5.95,0.06,3.005,"71,193","18,487","66,180","155,860",0.26,3.58,1.92,0.6
43021AY,"13,862","23,533","13,460","50,855",0.59,1.75,1.17,"13,305","20,786","18,610","52,701",1.56,0.9,1.23,1.04
43022AY,"12,064","13,755","3,912","29,731",0.88,3.52,2.2,"8,922","9,127",,"18,050",1.02,0,0.51,0.61
43023AY,,"2,224",,"2,224",0,0,0,,"2,215",,"2,215",0,0,0,1
43025AY,,,,0,0,0,0,,,"2,514","2,514",0,0,0,0
43027AY,"19,013","4,171","2,314","25,498",4.56,1.8,3.18,"13,875","1,290","10,951","26,116",0.09,8.49,4.29,1.02
43033AY,"93,374","61,084","617,818","772,276",1.53,0.1,0.815,"152,447","645,486","599,489","1,397,422",4.23,0.93,2.58,1.81
43043AY,958,,,958,0,0,0,,,366,366,0,0,0,0.38
43063AY,,,,0,0,0,0,"8,897","1,294",,"10,192",0.15,0,0.075,0
43064AY,,,,0,0,0,0,"8,846","4,736","18,294","31,876",0.54,3.86,2.2,0
43067AY,"64,551","25,938","57,731","148,220",2.49,0.45,1.47,"95,879","95,253","40,731","231,862",0.99,0.43,0.71,1.56
43068AY,,,,0,0,0,0,,551,,551,0,0,0,0
43069AY,"113,880","143,044","105,900","362,824",0.8,1.35,1.075,"110,001","150,994","166,019","427,015",1.37,1.1,1.235,1.18
43089TR,,,,0,0,0,0,950,"4,313",,"5,262",4.54,0,2.27,0
43310TP,,,,0,0,0,0,,,,0,0,0,0,0
43410TJ,,,,0,0,0,0,,,"5,907","5,907",0,0,0,0
43519TS,,,,0,0,0,0,,,,0,0,0,0,0
44001AY,,,,0,0,0,0,,93,,93,0,0,0,0
44001NR,,,"14,465","14,465",0,0,0,"3,503",,,"3,503",0,0,0,0.24
44010TN,,,,0,0,0,0,,378,,378,0,0,0,0
6706003HY,"3,996","16,257","7,909","28,162",0.25,2.06,1.155,"9,362","125,097","527,771","662,230",13.36,4.22,8.79,23.52
6706006PL,,639,493,"1,132",0,1.3,0.65,,,,0,0,0,0,0
6706008SB,,,,0,0,0,0,,,,0,0,0,0,0
6706009AY,,,,0,0,0,0,,,,0,0,0,0,0
6706009NR,,,,0,0,0,0,,"39,196","16,078","55,274",0,0.41,0.205,0
6706010AY,"1,742",,"12,362","14,104",0,0,0,"17,031","5,857","1,856","24,743",0.34,0.32,0.33,1.75
6706011AY,,,,0,0,0,0,,,"1,705","1,705",0,0,0,0
6706012AY,"26,774","22,910","18,700","68,384",1.17,1.23,1.2,"20,437","10,488","23,769","54,694",0.51,2.27,1.39,0.8
6706013AY,,,,0,0,0,0,,,,0,0,0,0,0
6706014AY,"6,141",,,"6,141",0,0,0,,,"1,452","1,452",0,0,0,0.24
6706018AY,"20,260","13,102","16,212","49,574",1.55,0.81,1.18,"26,819","34,049","16,828","77,696",1.27,0.49,0.88,1.57
6706018BS,,,"31,890","31,890",0,0,0,"29,487","25,223","4,532","59,242",0.86,0.18,0.52,1.86
6706021AY,,,816,816,0,0,0,,,682,682,0,0,0,0.84
6706022AY,,,,0,0,0,0,,,,0,0,0,0,0
6706023AY,,,,0,0,0,0,,973,,973,0,0,0,0
6706023KK,"1,376",,,"1,376",0,0,0,,,,0,0,0,0,0
6706026AY,475,,"9,687","10,162",0,0,0,,,,0,0,0,0,0
6706027BS,,,,0,0,0,0,,"2,671",,"2,671",0,0,0,0
6706030AY,,,239,239,0,0,0,,,,0,0,0,0,0
6706031AY,,,"1,645","1,645",0,0,0,"10,359","1,465",,"11,824",0.14,0,0.07,7.19
6706031BS,"4,741","3,914","1,556","10,211",1.21,2.52,1.865,597,"14,445","2,025","17,067",24.19,0.14,12.165,1.67
6706032BS,"5,613","3,116",,"8,729",1.8,0,0.9,,,,0,0,0,0,0
6706038AY,"82,904","129,518","143,776","356,198",0.64,0.9,0.77,"35,493","13,301","33,610","82,403",0.37,2.53,1.45,0.23
6706041AY,,,,0,0,0,0,,,"2,536","2,536",0,0,0,0
6706041TL,,,,0,0,0,0,,,,0,0,0,0,0
6706044AY,695,"1,391",,"2,086",0.5,0,0.25,654,"1,391",,"2,045",2.13,0,1.065,0.98
6706045AY,"3,965","1,017",622,"5,604",3.9,1.64,2.77,"4,195",,,"4,195",0,0,0,0.75
6706046AY,"9,214","14,696","9,363","33,273",0.63,1.57,1.1,"1,902","6,059","4,483","12,445",3.19,0.74,1.965,0.37
6706048AY,,"20,224","18,395","38,619",0,1.1,0.55,"14,579",,"12,277","26,856",0,0,0,0.7
6706051AY,,,,0,0,0,0,,,,0,0,0,0,0
6706053AY,,,"9,195","9,195",0,0,0,"1,334",,"1,848","3,182",0,0,0,0.35
6706057AY,,,,0,0,0,0,,,385,385,0,0,0,0
6706058SB,"1,121","42,963","16,531","60,615",0.03,2.6,1.315,"15,806","3,763","48,639","68,209",0.24,12.92,6.58,1.13
6706059AY,"2,052",,463,"2,515",0,0,0,,529,,529,0,0,0,0.21
6706059NR,,"9,631","4,512","14,143",0,2.13,1.065,505,,,505,0,0,0,0.04
6706060AY,"1,156",,,"1,156",0,0,0,,,,0,0,0,0,0
6706062AY,"8,425","2,378","31,689","42,492",3.54,0.08,1.81,"148,593","26,770","32,434","207,797",0.18,1.21,0.695,4.89
6706063AY,,,,0,0,0,0,"9,158","21,255",,"30,413",2.32,0,1.16,0
6706064AY,,,"1,189","1,189",0,0,0,"3,638",704,,"4,342",0.19,0,0.095,3.65
6706065AY,804,"1,673","10,968","13,445",0.48,0.15,0.315,,394,678,"1,072",0,1.72,0.86,0.08
6706066SB,,,,0,0,0,0,,,"2,182","2,182",0,0,0,0
6706067AY,,,,0,0,0,0,"2,860",,,"2,860",0,0,0,0
6706067NS,"28,195",,,"28,195",0,0,0,,,,0,0,0,0,0
6706068AY,,,306,306,0,0,0,,,,0,0,0,0,0
6706068BS,,,,0,0,0,0,,553,,553,0,0,0,0
6706072AY,,,,0,0,0,0,,,,0,0,0,0,0
6706073AY,"14,654",,,"14,654",0,0,0,,,"1,385","1,385",0,0,0,0.09
6706075AY,,,,0,0,0,0,,776,,776,0,0,0,0
6706076AY,"10,658","16,848","2,946","30,452",0.63,5.72,3.175,,,,0,0,0,0,0
6706077AY,916,,"25,613","26,529",0,0,0,"44,714","1,426","1,093","47,234",0.03,0.77,0.4,1.78
6706078AY,"2,226",,"1,308","3,534",0,0,0,,,,0,0,0,0,0
6706079AY,,,,0,0,0,0,,,"2,799","2,799",0,0,0,0
6706081AY,"46,716","3,867","4,152","54,735",12.08,0.93,6.505,"18,797","19,731",,"38,528",1.05,0,0.525,0.7
6706084AY,"3,014",,,"3,014",0,0,0,,"2,920",,"2,920",0,0,0,0.97
6706085AY,628,"1,995","3,168","5,791",0.31,0.63,0.47,329,"2,563",201,"3,093",7.79,0.08,3.935,0.53
6706087AY,"6,935",,,"6,935",0,0,0,,,,0,0,0,0,0
6706088BS,,,,0,0,0,0,,,654,654,0,0,0,0
6706089AY,"25,807","22,409","27,715","75,931",1.15,0.81,0.98,"41,832",,,"41,832",0,0,0,0.55
6706090AY,"35,227","10,894","41,951","88,072",3.23,0.26,1.745,,"6,015",,"6,015",0,0,0,0.07
6706090NS,,,,0,0,0,0,"38,750","75,131","29,163","143,044",1.94,0.39,1.165,0
6706091AY,,"13,886","8,412","22,298",0,1.65,0.825,"11,647","35,160","31,500","78,306",3.02,0.9,1.96,3.51
6706094AY,"19,471",,"28,623","48,094",0,0,0,"28,344","42,905",,"71,249",1.51,0,0.755,1.48
6706094SB,,"7,160",,"7,160",0,0,0,,,,0,0,0,0,0
6706096AY,"1,068",,"2,380","3,448",0,0,0,917,391,,"1,307",0.43,0,0.215,0.38
6706097SB,,,"3,036","3,036",0,0,0,,,,0,0,0,0,0
6706100AY,,,,0,0,0,0,,,,0,0,0,0,0
6706101AY,,,,0,0,0,0,,,,0,0,0,0,0
6706102AY,,"1,676","6,897","8,573",0,0.24,0.12,"10,028",,,"10,028",0,0,0,1.17
6706104AY,,,"2,190","2,190",0,0,0,,"1,004",,"1,004",0,0,0,0.46
6706105AY,,,,0,0,0,0,,,224,224,0,0,0,0
6706109AY,"17,042","16,218","1,919","35,179",1.05,8.45,4.75,"7,244","38,287","23,051","68,582",5.29,0.6,2.945,1.95
6706110AY,"6,482","2,123","2,671","11,276",3.05,0.79,1.92,842,"9,316","1,354","11,512",11.07,0.15,5.61,1.02
6706110NS,,,,0,0,0,0,,,"13,191","13,191",0,0,0,0
6706111AY,,,"2,172","2,172",0,0,0,,,16,16,0,0,0,0.01
6706111KK,"5,121",,,"5,121",0,0,0,,,,0,0,0,0,0
6706113AY,,62,,62,0,0,0,,,,0,0,0,0,0
6706117AY,,,,0,0,0,0,,,,0,0,0,0,0
6706119AY,,,"1,920","1,920",0,0,0,,,,0,0,0,0,0
6706121AY,,"2,048",,"2,048",0,0,0,,,,0,0,0,0,0
6706122AY,,,,0,0,0,0,"1,950","3,991","6,454","12,395",2.05,1.62,1.835,0
6706130RY,,,,0,0,0,0,,,,0,0,0,0,0
6706133AY,"3,887","3,949",,"7,836",0.98,0,0.49,,,,0,0,0,0,0
6706134AY,"7,433",813,"4,261","12,507",9.14,0.19,4.665,543,"3,007","2,422","5,972",5.54,0.81,3.175,0.48
6706135AY,,,,0,0,0,0,262,,,262,0,0,0,0
6706140AY,"3,713","2,107","9,916","15,736",1.76,0.21,0.985,"1,888",,,"1,888",0,0,0,0.12
6706141AY,,,91,91,0,0,0,,,,0,0,0,0,0
6706144AY,,,,0,0,0,0,,"7,918",,"7,918",0,0,0,0
6706146AY,606,,"4,427","5,033",0,0,0,"1,701",,"1,993","3,694",0,0,0,0.73
6706148AY,"14,690","7,611","1,058","23,359",1.93,7.19,4.56,,168,917,"1,085",0,5.45,2.725,0.05
6706149AY,,"2,323","2,620","4,943",0,0.89,0.445,,"2,243","5,012","7,255",0,2.23,1.115,1.47
6706152AY,,,,0,0,0,0,,,,0,0,0,0,0
6706153AY,,,,0,0,0,0,"9,508",,,"9,508",0,0,0,0
6706155AY,,,,0,0,0,0,738,,"2,748","3,486",0,0,0,0
6706156AY,,"1,712",,"1,712",0,0,0,,,,0,0,0,0,0
6706160AY,,,,0,0,0,0,,"1,359",,"1,359",0,0,0,0
6706161AY,"1,587",397,854,"2,838",4,0.46,2.23,90,"2,214",,"2,304",24.68,0,12.34,0.81
6706164AY,,,,0,0,0,0,"1,600",,,"1,600",0,0,0,0
6706166AY,"1,497","19,766",,"21,263",0.08,0,0.04,,,,0,0,0,0,0
6706169AY,,"2,581",,"2,581",0,0,0,,,,0,0,0,0,0
6706171AY,"16,621",,"19,219","35,840",0,0,0,"29,340","14,132","15,389","58,861",0.48,1.09,0.785,1.64
6706172AY,"1,121",,"1,495","2,616",0,0,0,"2,243","3,376",374,"5,993",1.51,0.11,0.81,2.29
6706173AY,,,,0,0,0,0,"4,993",,,"4,993",0,0,0,0
6706175AY,,,,0,0,0,0,,,511,511,0,0,0,0
6706176AY,,262,,262,0,0,0,,"9,514",,"9,514",0,0,0,36.31
6706180AY,666,"12,505",,"13,171",0.05,0,0.025,,"3,404",,"3,404",0,0,0,0.26
6706186AY,,,678,678,0,0,0,,,,0,0,0,0,0
6706187AY,,,"2,207","2,207",0,0,0,98,407,"1,950","2,455",4.14,4.8,4.47,1.11
6706191AY,,,,0,0,0,0,"1,014",,,"1,014",0,0,0,0
6706193AY,,,,0,0,0,0,,,,0,0,0,0,0
6706197AY,"1,924","2,047",,"3,971",0.94,0,0.47,,"4,281",,"4,281",0,0,0,1.08
6706199TR,,,,0,0,0,0,,"8,602",,"8,602",0,0,0,0
6706203AY,,,,0,0,0,0,,533,,533,0,0,0,0
6706208AY,,,,0,0,0,0,,,,0,0,0,0,0
6706209AY,,,,0,0,0,0,674,,,674,0,0,0,0
6706211TS,"2,632",,,"2,632",0,0,0,,,,0,0,0,0,0
6706212AY,486,,,486,0,0,0,,,,0,0,0,0,0
6706216AY,,,,0,0,0,0,443,,,443,0,0,0,0
6706219AY,"1,014","1,014",,"2,028",1,0,0.5,,"1,014","2,028","3,042",0,2,1,1.5
6706221AY,"1,765",,,"1,765",0,0,0,550,,,550,0,0,0,0.31
6706222AY,,"7,812",123,"7,935",0,63.51,31.755,"5,946","2,764",326,"9,036",0.46,0.12,0.29,1.14
6706224AY,,"2,894","4,698","7,592",0,0.62,0.31,213,736,"2,213","3,162",3.45,3.01,3.23,0.42
6706225AY,"1,400",,308,"1,708",0,0,0,,48,426,474,0,8.85,4.425,0.28
6706226AY,,"3,412",,"3,412",0,0,0,,,,0,0,0,0,0
6706228AY,,,,0,0,0,0,,,"1,873","1,873",0,0,0,0
6706231AY,,,"4,457","4,457",0,0,0,885,963,,"1,848",1.09,0,0.545,0.41
6706232AY,"22,762","1,342","3,381","27,485",16.96,0.4,8.68,"5,286","51,265","10,348","66,899",9.7,0.2,4.95,2.43
6706233AY,286,591,,877,0.48,0,0.24,,,,0,0,0,0,0
6706235AY,"31,191","6,170","14,075","51,436",5.06,0.44,2.75,,"39,142",210,"39,353",0,0.01,0.005,0.77
6706268TS,,,"3,340","3,340",0,0,0,,,,0,0,0,0,0
6707003AY,,,,0,0,0,0,,,321,321,0,0,0,0
6707007AY,"11,497","4,212","8,834","24,543",2.73,0.48,1.605,"13,936","8,266","5,073","27,274",0.59,0.61,0.6,1.11
6707010AY,,,,0,0,0,0,,,,0,0,0,0,0
6707013AY,"10,046",,"10,691","20,737",0,0,0,"11,484","11,693",,"23,178",1.02,0,0.51,1.12
6707013NS,,,,0,0,0,0,,,,0,0,0,0,0
6707014AY,,,,0,0,0,0,,,450,450,0,0,0,0
6707014SB,,,,0,0,0,0,"1,318","3,621","6,217","11,155",2.75,1.72,2.235,0
6707015AY,,,,0,0,0,0,,,,0,0,0,0,0
6707016AY,,,,0,0,0,0,,,,0,0,0,0,0
